"nbsp","sing.sp","FEve","FDis","RaoQ","simpson"
828,828,0.366145802034642,0.191757451573683,0.0565745386823527,0.408769995392888
592,592,0.382763094660945,0.132734726646127,0.041509411623885,0.242311815019257
2071,2071,0.413451674344501,0.262341330311738,0.0768544796929753,0.665540303778484
81,81,0.424340152092812,0.0157277420233894,0.00570822999732138,0.0240136000745171
169,169,0.412758237487004,0.0505612671742956,0.0149105367106297,0.0986545028221313
972,972,0.402014991658037,0.293556814856494,0.0896550564361845,0.814185319530932
761,761,0.430744519785191,0.285936053081783,0.0892973102826804,0.628118647515945
1371,1371,0.420261786603841,0.269812871379222,0.0806538325575515,0.629247749921254
836,836,0.440449830628368,0.224021616034463,0.0643395739920195,0.947259153025697
1152,1152,0.445510640139028,0.166270372202305,0.0427656595073057,0.981027420789426
